Order ID,Product,Quantity,Price Each,Order Date,Branch
25929,T-Shirt,4,$26.57,2024-04-22,District 4
19602,Jacket,2,$17.72,2024-04-22,Tan Phu
19602,Sweater,2,$32.80,2024-04-22,Binh Thanh
28549,Sneakers,2,$26.84,2024-04-21,Binh Tan
28549,Hoodie,1,$38.53,2024-04-21,Binh Tan
29593,Hoodie,4,$37.54,2024-04-3,Hoc Mon
29593,Coat,1,$36.60,2024-04-3,Phu Nhuan
26262,Skirt,2,$33.59,2024-04-15,District 1
12793,T-Shirt,1,$17.68,2024-04-6,Cu Chi
28640,Hoodie,1,$38.10,2024-04-5,District 9
16217,Hoodie,2,$46.78,2024-04-4,District 2
16217,Jeans,1,$30.27,2024-04-4,Thu Duc
16217,Jacket,2,$25.93,2024-04-4,District 6
18887,Jeans,2,$34.20,2024-04-5,District 6
22800,Skirt,1,$19.02,2024-04-27,Go Vap
22800,Shorts,1,$25.06,2024-04-27,District 7
23923,T-Shirt,3,$17.41,2024-04-24,Phu Nhuan
23923,Jeans,2,$48.35,2024-04-24,District 9
23923,Hoodie,4,$41.81,2024-04-24,District 1
13479,Shorts,1,$24.77,2024-04-15,District 5
13479,Shorts,4,$49.89,2024-04-15,District 5
13479,Sweater,2,$26.29,2024-04-15,Cu Chi
24286,Shorts,1,$39.53,2024-04-7,Hoc Mon
24286,Shorts,1,$21.87,2024-04-7,District 6
18521,Blazer,1,$20.74,2024-04-23,Nha Be
18521,Shorts,1,$23.94,2024-04-23,District 10
18521,Sweater,2,$44.61,2024-04-23,Phu Nhuan
17407,Blazer,4,$17.59,2024-04-19,Thu Duc
17407,Shorts,2,$17.54,2024-04-19,District 10
29979,T-Shirt,2,$30.42,2024-04-2,Hoc Mon
29979,Jacket,1,$22.82,2024-04-2,Binh Tan
29437,Sneakers,4,$37.37,2024-04-22,Thu Duc
19358,Sweater,2,$37.15,2024-04-24,District 4
19358,Jacket,4,$28.33,2024-04-24,District 7
25395,Skirt,1,$40.08,2024-04-22,District 5
25395,Jeans,3,$46.45,2024-04-22,District 2
22372,T-Shirt,1,$25.90,2024-04-14,Binh Tan
14207,Sneakers,1,$19.79,2024-04-10,Tan Binh
14207,Skirt,3,$24.79,2024-04-10,Nha Be
14207,Jacket,1,$40.39,2024-04-10,Thu Duc
28187,Hoodie,4,$31.25,2024-04-23,Tan Binh
21410,T-Shirt,2,$43.94,2024-04-8,Phu Nhuan
21410,Hoodie,2,$41.69,2024-04-8,Cu Chi
16816,Jacket,2,$30.18,2024-04-26,District 6
16816,Sneakers,4,$35.87,2024-04-26,Phu Nhuan
16816,Sweater,3,$26.97,2024-04-26,District 2
29308,Sweater,1,$45.05,2024-04-28,Hoc Mon
29308,Jeans,1,$43.71,2024-04-28,Go Vap
29308,T-Shirt,2,$21.93,2024-04-28,District 7
