Order ID,Product,Quantity,Price Each,Order Date
11418,Wallet,1,$37,2024-09-16
13669,Sweater,2,$47,2024-09-11
23833,Sneakers,3,$25,2024-09-04
13290,Jeans,2,$36.35,2024-09-02
19992,Hoodie,2,$31.22,2024-09-03
15068,Jeans,1,$42.05,2024-09-27
24841,Backpack,2,$44.04,2024-09-06
24294,Sunglasses,1,$31.68,2024-09-19
24330,Gloves,1,$38.51,2024-09-18
28298,Tie,1,$16,2024-09-19
25163,Skirt,5,$47,2024-09-13
16399,Scarf,1,$27.93,2024-09-26
28222,Coat,4,$34.01,2024-09-17
26061,Watch,4,$32,2024-09-28
13043,Socks,1,$31,2024-09-12
12553,Sweater,2,$28.21,2024-09-23
29953,Pants,1,$30.68,2024-09-21
13460,Blouse,2,$26,2024-09-16
14940,Gloves,3,$41,2024-09-09
23824,Sandals,3,$17,2024-09-20
21930,Shoes,3,$28,2024-09-12
28318,Blouse,1,$48,2024-09-10
21021,Hat,1,$48.37,2024-09-03
27238,Backpack,2,$23,2024-09-02
25164,Dress,4,$16.93,2024-09-02
25741,Shoes,1,$19.39,2024-09-14
23541,Jacket,2,$32,2024-09-17
11462,Coat,1,$44,2024-09-26
23463,Sweater,1,$24,2024-09-23
18420,Sweater,3,$41,2024-09-11
18048,Tie,2,$37,2024-09-11
14397,Tie,1,$29.77,2024-09-05
26104,Sandals,3,$20,2024-09-26
24656,Hoodie,1,$29.88,2024-09-21
19316,Handbag,5,$31,2024-09-22
24177,Shoes,1,$43,2024-09-03
12687,Sunglasses,1,$45,2024-09-08
25431,Handbag,1,$18,2024-09-13
28095,Shorts,1,$19.0,2024-09-16
27423,Sunglasses,2,$38.61,2024-09-06
11012,Tie,1,$24.01,2024-09-10
25179,Jeans,2,$47,2024-09-26
25314,Sandals,2,$40,2024-09-19
21165,Blouse,1,$20,2024-09-26
26877,Dress,2,$50,2024-09-19
12110,Gloves,1,$25,2024-09-22
12916,Sunglasses,2,$42,2024-09-28
21265,Sunglasses,1,$48.06,2024-09-06
28677,Tie,1,$31,2024-09-26
17049,Tie,1,$50,2024-09-17
17602,Belt,1,$23.99,2024-09-12
12511,Watch,1,$47.88,2024-09-28
12973,Hoodie,1,$35,2024-09-25
28479,Dress,2,$19.59,2024-09-01
13707,Belt,3,$44,2024-09-15
24270,Dress,1,$33,2024-09-13
14989,Jeans,2,$34,2024-09-25
23168,Gloves,1,$31.34,2024-09-03
25147,Hoodie,3,$21.4,2024-09-19
14529,Belt,2,$23.18,2024-09-19
16559,Tie,3,$24,2024-09-01
11153,Skirt,2,$27.13,2024-09-19
24766,T-Shirt,3,$45.22,2024-09-08
27499,Jeans,2,$41.44,2024-09-02
15297,Watch,2,$47,2024-09-06
29802,Jacket,5,$40.7,2024-09-21
12452,T-Shirt,1,$31.61,2024-09-14
25641,Sandals,1,$31,2024-09-17
17013,Scarf,1,$27,2024-09-23
23446,Shoes,2,$16,2024-09-15
12619,Hoodie,1,$18,2024-09-10
26432,Hoodie,3,$36.1,2024-09-16
22383,Socks,2,$26,2024-09-17
11483,Scarf,1,$21,2024-09-07
19159,Coat,5,$21.19,2024-09-28
23675,Coat,2,$24.67,2024-09-04
22275,Jeans,1,$19,2024-09-02
15726,Jeans,2,$32.21,2024-09-22
18760,Backpack,1,$18.47,2024-09-21
15723,Sunglasses,1,$22.09,2024-09-14
24788,Sandals,1,$32,2024-09-14
23105,Shoes,2,$47,2024-09-19
25099,Hoodie,5,$19,2024-09-23
16127,Sweater,2,$26.62,2024-09-12
29740,T-Shirt,2,$22,2024-09-02
17293,Sweater,5,$28,2024-09-12
13607,Belt,2,$32.0,2024-09-05
15154,Coat,1,$25,2024-09-10
21579,Blouse,1,$23.39,2024-09-22
11865,Jeans,2,$39,2024-09-22
23523,Blouse,1,$38,2024-09-23
21614,Belt,1,$45.18,2024-09-03
25470,Sandals,1,$24,2024-09-26
22997,Jeans,2,$20.57,2024-09-27
11933,Sneakers,1,$31.73,2024-09-21
29324,Sandals,4,$26,2024-09-27
24927,Jeans,1,$28,2024-09-20
26521,Shorts,1,$22,2024-09-14
26746,Sweater,1,$33,2024-09-28
28452,Blouse,2,$38.82,2024-09-10
28489,Blouse,2,$19,2024-09-07
15117,Jacket,1,$26.84,2024-09-14
26019,Blouse,1,$19,2024-09-10
23058,Skirt,4,$50,2024-09-28
17342,Shoes,1,$25.68,2024-09-21
18709,Sandals,2,$42,2024-09-24
28118,Sneakers,1,$46.83,2024-09-17
12946,Scarf,2,$40.48,2024-09-16
11336,Sandals,2,$18,2024-09-07
21221,Hoodie,2,$36.83,2024-09-16
14010,Skirt,2,$16.77,2024-09-21
14094,Wallet,5,$20,2024-09-03
25226,T-Shirt,2,$21,2024-09-19
25722,Sandals,1,$21,2024-09-04
12614,Sandals,2,$18.04,2024-09-12
27355,Sweater,2,$26,2024-09-20
18413,Hoodie,3,$28,2024-09-02
19416,Sweater,2,$23.18,2024-09-27
21263,Backpack,1,$24.29,2024-09-09
26544,Shoes,2,$32,2024-09-20
12840,Gloves,1,$48,2024-09-07
28984,Blouse,2,$19.62,2024-09-16
24486,Sandals,3,$36,2024-09-14
27688,Jacket,1,$50,2024-09-26
27503,Watch,3,$40.51,2024-09-22
28806,Sweater,1,$37,2024-09-03
22605,Pants,2,$16.7,2024-09-21
18758,Scarf,2,$22.7,2024-09-06
